"<a href=""https://en.wikipedia.org/wiki/Abyssal_plain"" title=""Abyssal plain"">abyssal plain</a>"|"
<dd class=""glossary"">Flat or very gently sloping areas of the deep ocean basin floor.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Absolute_dating"" title=""Absolute dating"">absolute dating</a>"|"
<dd class=""glossary"">The process of determining a specific date (in years or some other unit of time) for an archaeological, geological or paleontological site or artifact.</dd>
"
"accident"|"
<dd class=""glossary"">A sudden discontinuity of ground, such as fault of great thickness, bed or lentil of unstable ground.<sup id=""cite_ref-1"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_geology#cite_note-1"">&#91;1&#93;</a></sup></dd>
"
"<a href=""https://en.wikipedia.org/wiki/Accretion_(geology)"" title=""Accretion (geology)"">accretion</a>"|"
<dd class=""glossary"">A process by which material is added to a tectonic plate or landmass.</dd>
"
"achnelith"|"
<dd class=""glossary"">A small, glassy volcanic bomb, sphere, dumbbell and droplet shapes resulting from very liquid magma.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Acid_rock_(geology)"" class=""mw-redirect"" title=""Acid rock (geology)"">acid rock</a>"|"
<dd class=""glossary"">The groups ultrabasic, basic, intermediate and acid constitute a series with progressively increasing SiO<sub>2</sub> content.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Aftershock"" title=""Aftershock"">aftershock</a>"|"
<dd class=""glossary"">A small earthquake that follows a main shock.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Agglomerate"" title=""Agglomerate"">agglomerate</a>"|"
<dd class=""glossary"">An indurated rock built of large angular rock fragments embedded in an ashy matrix and resulting from explosive volcanic activity. Occurs typically in volcanic vents.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Aggregate_(geology)"" title=""Aggregate (geology)"">aggregate</a>"|"
<dd class=""glossary"">A mass consisting of rock or mineral fragments.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Albite"" title=""Albite"">albite</a>"|"
<dd class=""glossary"">The end member of the <a href=""#plagioclase""><span title=""See entry on this page at § plagioclase"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">plagioclase</span></a> group of minerals, ideally consisting of silicates of <a href=""https://en.wikipedia.org/wiki/Sodium"" title=""Sodium"">sodium</a> and <a href=""https://en.wikipedia.org/wiki/Aluminium"" title=""Aluminium"">aluminium</a>, but commonly containing small quantities of potash and lime in addition. Compare <a href=""#barbierite""><span title=""See entry on this page at § barbierite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">barbierite</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Alkaline"" class=""mw-redirect"" title=""Alkaline"">alkaline</a>"|"
<dd class=""glossary"">A highly basic substance that dissolves in water.</dd>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Alkaline_rock&amp;action=edit&amp;redlink=1"" class=""new"" title=""Alkaline rock (page does not exist)"">alkaline rock</a>"|"
<dd class=""glossary"">A type of rock characterized by a high content of Na<sub>2</sub>O and K<sub>2</sub>O relative to the other oxides. They occur throughout the range from ultrabasic to acid, but have their strongest expression in the acid-intermediate part of the range.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Allochthon"" title=""Allochthon"">allochthon</a>"|"
<dd class=""glossary"">A fossil, sediment, or rock that was formed elsewhere and later transported into the location where it is presently found, usually by low angle thrust faulting. An object of this type is referred to as allochthonous. Contrast <i><a href=""#autochthon""><span title=""See entry on this page at § autochthon"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">autochthon</span></a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Alluvial_fan"" title=""Alluvial fan"">alluvial fan</a>"|"
<dd class=""glossary"">A fan-shaped deposit formed where a fast flowing stream flattens, slows, and spreads typically at the exit of a canyon onto a flatter plain.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Alluvium"" title=""Alluvium"">alluvium</a>"|"
<dd class=""glossary"">Soil or sediments deposited by a river or other running water.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Amber"" title=""Amber"">amber</a>"|"
<dd class=""glossary"">Fossilized resin or tree sap that is appreciated for its vivid colour, usually reddish-orange to gold or yellow.</dd>
"
